CMDLINE /home/ubuntu/anaconda3/envs/sansa/bin/python experiments/memory/amazonbook/run_experiment_mrf_0_5.py
MEM 12209.152344 1683547441.0785
MEM 12407.023438 1683547441.1787
MEM 12604.636719 1683547441.2788
MEM 12802.250000 1683547441.3790
MEM 13000.378906 1683547441.4791
MEM 13194.898438 1683547441.5793
MEM 13392.382812 1683547441.6794
MEM 13590.382812 1683547441.7796
MEM 13788.125000 1683547441.8797
MEM 13985.996094 1683547441.9799
MEM 14183.738281 1683547442.0800
MEM 14381.738281 1683547442.1802
MEM 14579.867188 1683547442.2803
MEM 14777.738281 1683547442.3805
MEM 14976.125000 1683547442.4806
MEM 15174.253906 1683547442.5808
MEM 15371.996094 1683547442.6809
MEM 15569.996094 1683547442.7811
MEM 15767.867188 1683547442.8812
MEM 15965.867188 1683547442.9814
MEM 16161.933594 1683547443.0815
MEM 16364.445312 1683547443.1817
MEM 16566.054688 1683547443.2819
MEM 16768.695312 1683547443.3820
MEM 16972.367188 1683547443.4822
MEM 17174.492188 1683547443.5823
MEM 17376.488281 1683547443.6825
MEM 17579.902344 1683547443.7826
MEM 17782.800781 1683547443.8828
MEM 17985.699219 1683547443.9829
MEM 18188.597656 1683547444.0831
MEM 18392.140625 1683547444.1832
MEM 18595.039062 1683547444.2834
MEM 18798.195312 1683547444.3836
MEM 19000.964844 1683547444.4837
MEM 19201.671875 1683547444.5839
MEM 19401.347656 1683547444.6841
MEM 19604.503906 1683547444.7842
MEM 19807.402344 1683547444.8844
MEM 20009.785156 1683547444.9845
MEM 20212.941406 1683547445.0847
MEM 20415.324219 1683547445.1848
MEM 20618.222656 1683547445.2850
MEM 20821.250000 1683547445.3851
MEM 21023.632812 1683547445.4853
MEM 21226.531250 1683547445.5854
MEM 21429.687500 1683547445.6856
MEM 21632.972656 1683547445.7858
MEM 21836.257812 1683547445.8859
MEM 22039.027344 1683547445.9861
MEM 22242.441406 1683547446.0862
MEM 22441.859375 1683547446.1864
MEM 22645.015625 1683547446.2865
MEM 22848.429688 1683547446.3866
MEM 23050.941406 1683547446.4867
MEM 23254.097656 1683547446.5869
MEM 23457.253906 1683547446.6871
MEM 23660.152344 1683547446.7872
MEM 23863.437500 1683547446.8874
MEM 24065.691406 1683547446.9875
MEM 24268.589844 1683547447.0877
MEM 24471.875000 1683547447.1879
MEM 24675.289062 1683547447.2881
MEM 24878.574219 1683547447.3882
MEM 25081.859375 1683547447.4884
MEM 25285.144531 1683547447.5885
MEM 25484.820312 1683547447.6887
MEM 25685.785156 1683547447.7889
MEM 25887.910156 1683547447.8890
MEM 26090.550781 1683547447.9892
MEM 26293.835938 1683547448.0893
MEM 26497.250000 1683547448.1895
MEM 26700.277344 1683547448.2897
MEM 26903.562500 1683547448.3899
MEM 27106.718750 1683547448.4900
MEM 27310.132812 1683547448.5902
MEM 27513.160156 1683547448.6903
MEM 27716.960938 1683547448.7905
MEM 27920.246094 1683547448.8906
MEM 28123.402344 1683547448.9908
MEM 28327.074219 1683547449.0909
MEM 28527.265625 1683547449.1911
